batch_number,group_key,files,upload_status,failure_stage,celery_status,claim_id,error,upload_started_at,upload_finished_at,upload_duration_sec,celery_wait_sec
1,synthea_fhir_001d1792_427898007.pdf,synthea_fhir_001d1792_427898007.pdf,OK,,COMPLETED,2a3028f5-054d-4170-814e-493b9d74fad2,,2026-05-15T10:14:51,2026-05-15T10:14:59,7.577,17.091
1,synthea_fhir_003aa4ca_384709000.pdf,synthea_fhir_003aa4ca_384709000.pdf,OK,,COMPLETED,e58ea5b3-0fed-447d-be96-690e374a5b91,,2026-05-15T10:14:51,2026-05-15T10:14:59,7.566,6.591
1,synthea_fhir_0097342a_66383009.pdf,synthea_fhir_0097342a_66383009.pdf,OK,,COMPLETED,963109cf-5d50-4693-a61a-e7cc0ae477c4,,2026-05-15T10:14:51,2026-05-15T10:14:59,7.531,7.238
1,synthea_fhir_00bf422a_66383009.pdf,synthea_fhir_00bf422a_66383009.pdf,OK,,COMPLETED,30cad9a8-8870-4a0d-966f-d0827c2cdb5a,,2026-05-15T10:14:51,2026-05-15T10:14:59,7.564,17.302
1,synthea_fhir_0243561b_1149222004.pdf,synthea_fhir_0243561b_1149222004.pdf,OK,,COMPLETED,994ccab2-05ce-40ad-9d28-4d98cc749a5c,,2026-05-15T10:14:51,2026-05-15T10:14:59,7.527,9.086
1,synthea_fhir_04079f46_66383009.pdf,synthea_fhir_04079f46_66383009.pdf,OK,,COMPLETED,f2739af6-2fc0-4a20-b1bf-264af0190f12,,2026-05-15T10:14:51,2026-05-15T10:14:59,7.542,9.468
1,synthea_fhir_048175da_Z00_00.pdf,synthea_fhir_048175da_Z00_00.pdf,OK,,COMPLETED,aa21b5f5-dcbd-4a42-be34-4be764e5a730,,2026-05-15T10:14:51,2026-05-15T10:14:59,7.556,9.593
1,synthea_fhir_06450374_431855005.pdf,synthea_fhir_06450374_431855005.pdf,OK,,COMPLETED,607de7de-906a-4aae-a3ae-6f7c83a8f30a,,2026-05-15T10:14:51,2026-05-15T10:14:59,7.551,9.708
1,synthea_fhir_06ece24c_18718003.pdf,synthea_fhir_06ece24c_18718003.pdf,OK,,COMPLETED,cb198223-5310-405c-b765-0f786cf9095d,,2026-05-15T10:14:51,2026-05-15T10:14:59,7.547,9.768
1,synthea_fhir_078fd627_66383009.pdf,synthea_fhir_078fd627_66383009.pdf,OK,,COMPLETED,43a78162-99b7-4444-9f86-35b4d293b31a,,2026-05-15T10:14:51,2026-05-15T10:14:59,7.546,9.825
1,synthea_fhir_07b6937e_66383009.pdf,synthea_fhir_07b6937e_66383009.pdf,OK,,COMPLETED,9ea275f2-16ad-4fa9-ba78-970409823b9f,,2026-05-15T10:14:51,2026-05-15T10:14:59,7.511,9.898
1,synthea_fhir_085f83e0_Z00_00.pdf,synthea_fhir_085f83e0_Z00_00.pdf,OK,,COMPLETED,8b2416b3-270a-4a11-bba3-e977f3be4ffd,,2026-05-15T10:14:51,2026-05-15T10:14:59,7.541,9.959
1,synthea_fhir_08c1a3e5_Z00_00.pdf,synthea_fhir_08c1a3e5_Z00_00.pdf,OK,,COMPLETED,e4e2ea5c-6fcf-4ddf-a2f0-c7c7046a13ee,,2026-05-15T10:14:51,2026-05-15T10:15:02,10.484,30.917
1,synthea_fhir_08c68ba1_66383009.pdf,synthea_fhir_08c68ba1_66383009.pdf,OK,,COMPLETED,c5de42a8-2dd0-4fa0-bbe7-6a346125aa1a,,2026-05-15T10:14:51,2026-05-15T10:15:02,10.458,207.604
1,synthea_fhir_08dee3de_384709000.pdf,synthea_fhir_08dee3de_384709000.pdf,OK,,COMPLETED,1768695f-e216-47b3-aa5d-b13a3d064ca8,,2026-05-15T10:14:51,2026-05-15T10:14:59,7.279,10.164
1,synthea_fhir_08fcc806_66383009.pdf,synthea_fhir_08fcc806_66383009.pdf,OK,,COMPLETED,64d9c853-d4fb-4e8b-92aa-218526c887e8,,2026-05-15T10:14:51,2026-05-15T10:15:02,10.344,30.998
